Date,Close,Change,Fluctuation,Open,High,Low,Volume,Transaction,Market_cap
2020.9.25,808.28,1.33,0.16,817.95,820.74,799.53,2212037,1.33E+07,3.13E+08
2020.9.24,806.95,-36.5,-4.33,825.74,833.04,804.28,2196878,1.55E+07,3.13E+08
2020.9.23,843.45,0.73,0.09,855.57,856.14,821.89,2246113,1.31E+07,3.27E+08
2020.9.22,842.72,-24.27,-2.8,867.72,867.89,838.13,1973656,1.23E+07,3.26E+08
2020.9.21,866.99,-21.89,-2.46,889.94,892.34,859.4,1965201,1.37E+07,3.36E+08
2020.9.18,888.88,3.7,0.42,889.47,892.39,878.78,1768420,1.27E+07,3.44E+08
2020.9.17,885.18,-11.1,-1.24,897.88,898.43,883.5,2286209,1.43E+07,3.42E+08
2020.9.16,896.28,-3.18,-0.35,901.75,905.56,891.99,2410951,1.60E+07,3.46E+08
2020.9.15,899.46,5.29,0.59,898.63,899.64,893.24,2098773,1.58E+07,3.47E+08
2020.9.14,894.17,5.73,0.64,894.38,894.8,886.48,1699498,1.35E+07,3.46E+08
2020.9.11,888.44,4.14,0.47,881.23,888.44,877.58,1994166,1.44E+07,3.43E+08
2020.9.10,884.3,14.83,1.71,881.12,884.3,874.77,1990692,1.47E+07,3.42E+08
2020.9.9,869.47,-8.82,-1,864.91,877.67,864.17,2367816,1.64E+07,3.31E+08
2020.9.8,878.29,-0.59,-0.07,884.72,887.01,874.31,2517936,1.96E+07,3.34E+08
2020.9.7,878.88,12.84,1.48,872.03,879.36,864.39,1884732,1.60E+07,3.34E+08
2020.9.4,866.04,-8.09,-0.93,841.37,866.9,841.37,1730687,1.47E+07,3.29E+08
2020.9.3,874.13,7.39,0.85,871.02,874.16,869.84,1763489,1.40E+07,3.32E+08
2020.9.2,866.74,13.37,1.57,859.58,866.87,858.23,1843232,1.43E+07,3.30E+08
2020.9.1,853.37,5.13,0.6,850.58,854.22,847.53,1843910,1.27E+07,3.24E+08
2020.8.31,848.24,6.94,0.82,847.97,852.54,839.63,1890066,1.47E+07,3.22E+08
2020.8.28,841.3,4.9,0.59,841.76,850.38,837.86,2111380,1.68E+07,3.19E+08
2020.8.27,836.4,-4.95,-0.59,842.38,842.83,832.74,2951684,2.08E+07,3.18E+08
2020.8.26,841.35,5.04,0.6,838.86,842.48,827.27,2152207,1.74E+07,3.19E+08
