날짜,시간,국가,경제지표,실제,예상,이전,중요도
05.12 (Thu), 20:00,gb,MPC 회의록 ,,,,상
05.12 (Thu), 20:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
05.12 (Thu), 20:00,gb,비오이 MPC 투표 하이킹 ,0/9,0/9,0/9,상
05.10 (Tue), 17:30,gb,무역수지 Apr,￡-3.83B,,￡-4.3B,상
05.10 (Tue), 10:30,cn,인플레이션율(YoY) May,2.3%,2.4%,2.3%,상
05.08 (Sun), 11:00,cn,수입(YoY) May,-10.9%,-5%,-7.6%,상
05.08 (Sun), 11:00,cn,수출(YoY) May,-1.8%,-0.1%,11.5%,상
05.08 (Sun), 11:00,cn,무역수지 May,$45.56B,$40B,$29.86B,상
05.07 (Sat), 01:05,us,President Obama Statement on the Economy ,,,,상
05.06 (Fri), 21:30,us,실업률 May,5%,5%,5%,상
05.06 (Fri), 21:30,us,비 농장 급여 May,160K,202K,208K,상
05.04 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) May,55.7,54.7,54.5,상
05.04 (Wed), 21:30,us,무역수지 Apr,$-40.44B,$-41.5B,$-46.96B,상
05.04 (Wed), 21:15,us,ADP 고용변화 May,156K,196K,194K,상
05.03 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,49.4,49.9,49.7,상
05.02 (Mon), 23:00,us,ISM 제조업 PMI May,50.8,51.4,51.8,상
05.01 (Sun), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,50.1,50.4,50.2,상
04.29 (Fri), 08:05,gb,GFK 소비자 신뢰지수 Jun,-3,-1,0,상
04.28 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q2,0.5%,0.7%,1.4%,상
04.28 (Thu), 03:00,us,연준 기준금리 결정 ,0.5%,0.5%,0.5%,상
04.27 (Wed), 17:30,gb,경제성장률(QoQ) 예상 Q2,0.4%,0.4%,0.6%,상
04.27 (Wed), 17:30,gb,경제성장률(YoY) 예상 Q2,2.1%,2%,2.1%,상
04.26 (Tue), 21:30,us,내구재 주문 (월간) May,0.8%,1.8%,-3.1%,상
04.26 (Tue), 08:00,kr,GDP 성장률 (연간) 교수실 Q1,2.7%,2.7%,3.1%,상
04.26 (Tue), 08:00,kr,GDP 성장률(분기대비) 예비치 Q2,0.4%,0.5%,0.7%,상
04.25 (Mon), 23:00,us,신규주택판매 May,511K,520K,519K,상
04.20 (Wed), 23:00,us,기존주택판매 May,5.33M,5.3M,5.07M,상
04.20 (Wed), 17:30,gb,실업률 Apr,5.1%,5.1%,5.1%,상
04.20 (Wed), 17:30,gb,실업수당청구 변동 May,6.7K,-11.3K,-9.3K,상
04.15 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Jun,89.7,92,91,상
04.15 (Fri), 11:00,cn,경제성장률(YoY) Q2,6.7%,6.7%,6.8%,상
04.14 (Thu), 21:30,us,인플레이션율(YoY) May,0.9%,1.1%,1.0%,상
04.14 (Thu), 21:30,us,핵심물가상승률 (YoY) May,2.2%,2.3%,2.3%,상
04.14 (Thu), 20:00,gb,비오이 MPC 투표 하이킹 ,0/9,0/9,0/9,상
04.14 (Thu), 20:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
04.14 (Thu), 20:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
04.14 (Thu), 20:00,gb,MPC 회의록 ,,,,상
04.13 (Wed), 21:30,us,월간 소매 판매 May,-0.3%,0.1%,0.0%,상
04.13 (Wed), 11:00,cn,수입(YoY) May,-7.6%,-10.2%,-13.8%,상
04.13 (Wed), 11:00,cn,무역수지 May,$29.86B,$30.85B,$32.59B,상
04.13 (Wed), 11:00,cn,수출(YoY) May,11.5%,2.5%,-25.4%,상
04.12 (Tue), 17:30,gb,인플레이션율(YoY) May,0.5%,0.4%,0.3%,상
04.11 (Mon), 10:30,cn,인플레이션율(YoY) May,2.3%,2.5%,2.3%,상
04.08 (Fri), 17:30,gb,무역수지 Apr,￡-4.84B,,￡-5.23B,상
04.07 (Thu), 03:00,us,FOMC 회의록 ,,,,상
04.05 (Tue), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) May,54.5,54,53.4,상
04.05 (Tue), 21:30,us,무역수지 Apr,$-47.06B,$ -46.2B,$-45.88B,상
04.01 (Fri), 23:00,us,ISM 제조업 신규 주문 Mar,58.3,,51.5,상
04.01 (Fri), 23:00,us,ISM 제조업 PMI May,51.8,50.7,49.5,상
04.01 (Fri), 21:30,us,비 농장 급여 May,215K,205K,245K,상
04.01 (Fri), 21:30,us,실업률 May,5%,4.9%,4.9%,상
04.01 (Fri), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,49.7,48.2,48,상
04.01 (Fri), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,50.2,49.3,49,상
03.31 (Thu), 08:05,gb,GFK 소비자 신뢰지수 Jun,0,-1,0,상
03.30 (Wed), 21:15,us,ADP 고용변화 May,200K,194K,205K,상
03.25 (Fri), 21:30,us,경제성장률(QoQ) 최종 Q1,1.4%,1%,2.0%,상
03.24 (Thu), 21:30,us,내구재 주문 (월간) May,-2.8%,-2.9%,4.2%,상
03.23 (Wed), 23:00,us,신규주택판매 May,512K,510K,502K,상
03.22 (Tue), 18:30,gb,인플레이션율(YoY) May,0.3%,0.4%,0.3%,상
03.21 (Mon), 23:00,us,기존주택판매 May,5.08M,5.34M,5.47M,상
03.18 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Jun,90,92.2,91.7,상
03.17 (Thu), 21:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
03.17 (Thu), 21:00,gb,비오이 MPC 투표 하이킹 ,0/9,0/9,0/9,상
03.17 (Thu), 21:00,gb,MPC 회의록 ,,,,상
03.17 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
03.17 (Thu), 03:30,us,연준 기자 회견 ,,,,상
03.17 (Thu), 03:00,us,FOMC 경제 예측 ,,,,상
03.17 (Thu), 03:00,us,연준 기준금리 결정 ,0.5%,0.5%,0.5%,상
03.16 (Wed), 21:30,us,인플레이션율(YoY) May,1.0%,0.9%,1.4%,상
03.16 (Wed), 21:30,us,핵심물가상승률 (YoY) May,2.3%,2.2%,2.2%,상
03.16 (Wed), 18:30,gb,실업수당청구 변동 May,-18K,-9.1K,-28.4K,상
03.16 (Wed), 18:30,gb,실업률 Apr,5.1%,5.1%,5.1%,상
03.15 (Tue), 21:30,us,월간 소매 판매 May,-0.1%,-0.1%,-0.4%,상
03.12 (Sat), 14:30,cn,산업생산 (YOY) Jan-Feb,5.4%,5.6%,5.9%,상
03.11 (Fri), 18:30,gb,무역수지 Apr,￡-3.46B,￡ -3.0B,￡-3.69B,상
03.10 (Thu), 10:30,cn,인플레이션율(YoY) May,2.3%,1.9%,1.8%,상
03.08 (Tue), 11:00,cn,수입(YoY) May,-13.8%,-10%,-18.8%,상
03.08 (Tue), 11:00,cn,수출(YoY) May,-25.4%,-12.5%,-11.2%,상
03.08 (Tue), 11:00,cn,무역수지 May,$32.59B,$50.15B,$63.30B,상
03.04 (Fri), 22:30,us,실업률 May,4.9%,4.9%,4.9%,상
03.04 (Fri), 22:30,us,비 농장 급여 May,242K,190K,172K,상
03.04 (Fri), 22:30,us,무역수지 Apr,$-45.68B,$ -44B,$-44.7B,상
03.04 (Fri), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) May,53.4,53.2,53.5,상
03.02 (Wed), 22:15,us,ADP 고용변화 May,214K,190K,193K,상
03.02 (Wed), 00:00,us,ISM 제조업 PMI May,49.5,48.5,48.2,상
03.01 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48,48.3,48.4,상
03.01 (Tue), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,49,49.3,49.4,상
02.26 (Fri), 22:30,us,GDP 성장률 (분기대비)-추정치 Q4,1.0%,0.4%,2.0%,상
02.26 (Fri), 09:05,gb,GFK 소비자 신뢰지수 Jun,0,3,4,상
02.25 (Thu), 22:30,us,내구재 주문 (월간) May,4.9%,2.9%,-4.6%,상
02.25 (Thu), 18:30,gb,GDP 성장률 전분기 대비 2 이스트 Q4,0.5%,0.5%,0.4%,상
02.25 (Thu), 18:30,gb,GDP 성장률 추정치 (전년도대비) Q4,1.9%,1.9%,2.1%,상
02.25 (Thu), 00:00,us,신규주택판매 May,494K,520K,544K,상
02.24 (Wed), 00:00,us,기존주택판매 May,5.47M,5.32M,5.45M,상
02.23 (Tue), 19:00,gb,인플레이션 보고서 청문회 ,,,,상
02.23 (Tue), 19:00,gb,BoE Gov Carney Speech ,,,,상
02.19 (Fri), 22:30,us,핵심물가상승률 (YoY) May,2.2%,2.1%,2.1%,상
02.19 (Fri), 22:30,us,인플레이션율(YoY) May,1.4%,1.3%,0.7%,상
02.18 (Thu), 10:30,cn,인플레이션율(YoY) May,1.8%,1.9%,1.6%,상
02.18 (Thu), 04:00,us,FOMC 회의록 ,,,,상
02.17 (Wed), 18:30,gb,실업률 Apr,5.1%,5%,5.1%,상
02.17 (Wed), 18:30,gb,실업수당청구 변동 May,-14.8K,-3K,-15.2K,상
02.16 (Tue), 18:30,gb,인플레이션율(YoY) May,0.3%,0.3%,0.2%,상
02.15 (Mon), 11:00,cn,수입(YoY) May,-18.8%,-0.8%,-7.6%,상
02.15 (Mon), 11:00,cn,수출(YoY) May,-11.2%,-1.9%,-1.4%,상
02.15 (Mon), 11:00,cn,무역수지 May,$ 63.30B,$58.85B,$60.09B,상
02.13 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jun,90.7,92,92,상
02.12 (Fri), 22:30,us,월간 소매 판매 May,0.2%,0.1%,0.2%,상
02.12 (Fri), 00:00,us,Fed Yellen Testimony SBC ,,,,상
02.11 (Thu), 00:00,us,Fed Yellen Testimony HFSC ,,,,상
02.09 (Tue), 18:30,gb,무역수지 Apr,￡-2.71B,,￡-4.03B,상
02.05 (Fri), 22:30,us,무역수지 Apr,$-43.36B,$-43B,$-42.23B,상
02.05 (Fri), 22:30,us,비 농장 급여 May,151K,190K,262K,상
02.05 (Fri), 22:30,us,실업률 May,4.9%,5%,5%,상
02.04 (Thu), 21:45,gb,BoE Gov Carney Speech ,,,,상
02.04 (Thu), 21:00,gb,비오이 MPC 투표 하이킹 ,0/9,1/9,1/9,상
02.04 (Thu), 21:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
02.04 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
02.04 (Thu), 21:00,gb,BOE 인플레이션 보고서 ,,,,상
02.04 (Thu), 21:00,gb,MPC 회의록 ,,,,상
02.04 (Thu), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) May,53.5,55.1,55.8,상
02.03 (Wed), 22:15,us,ADP 고용변화 May,205K,195K,267K,상
02.02 (Tue), 00:00,us,ISM 제조업 PMI May,48.2,48,48,상
02.01 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48.4,48,48.2,상
02.01 (Mon), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,49.4,49.6,49.7,상
01.29 (Fri), 22:30,us,경제성장률(QoQ) 추정 Q2,0.7%,0.8%,2.0%,상
01.29 (Fri), 09:05,gb,GFK 소비자 신뢰지수 Jun,4,1,2,상
01.28 (Thu), 22:30,us,내구재 주문 (월간) May,-5.1%,-0.6%,-0.5%,상
01.28 (Thu), 18:30,gb,경제성장률(YoY) 예상 Q2,1.9%,1.9%,2.1%,상
01.28 (Thu), 18:30,gb,경제성장률(QoQ) 예상 Q2,0.5%,0.5%,0.4%,상
01.28 (Thu), 04:00,us,연준 기준금리 결정 ,0.5%,0.5%,0.5%,상
01.28 (Thu), 00:00,us,신규주택판매 May,544K,500K,491K,상
01.26 (Tue), 19:45,gb,BoE Gov Carney Speech ,,,,상
01.26 (Tue), 08:00,kr,GDP 성장률 (연간) 교수실 Q1,3%,3%,2.7%,상
01.26 (Tue), 08:00,kr,GDP 성장률(분기대비) 예비치 Q2,0.6%,0.7%,1.3%,상
01.23 (Sat), 00:00,us,기존주택판매 May,5.46M,5.2M,4.76M,상
01.20 (Wed), 22:30,us,핵심물가상승률 (YoY) May,2.1%,2.1%,2%,상
01.20 (Wed), 22:30,us,인플레이션율(YoY) May,0.7%,0.8%,0.5%,상
01.20 (Wed), 18:30,gb,실업수당청구 변동 May,-4.3K,2.5K,-2.2K,상
01.20 (Wed), 18:30,gb,실업률 Apr,5.1%,5.2%,5.2%,상
01.19 (Tue), 21:00,gb,BoE Gov Carney Speech ,,,,상
01.19 (Tue), 18:30,gb,인플레이션율(YoY) May,0.2%,0.2%,0.1%,상
01.19 (Tue), 11:00,cn,경제성장률(QoQ) Q2,1.6%,1.7%,1.8%,상
01.19 (Tue), 11:00,cn,경제성장률(YoY) Q2,6.8%,6.8%,6.9%,상
01.16 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jun,93.3,93,92.6,상
01.15 (Fri), 22:30,us,월간 소매 판매 May,-0.1%,0%,0.4%,상
01.14 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
01.14 (Thu), 21:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
01.14 (Thu), 21:00,gb,비오이 MPC 투표 하이킹 ,1/9,1/9,1/9,상
01.14 (Thu), 21:00,gb,MPC 회의록 ,,,,상
01.13 (Wed), 11:00,cn,무역수지 May,$60.09B,$53B,$54.1B,상
01.12 (Tue), 23:15,gb,BoE Gov Carney Speech ,,,,상
01.09 (Sat), 10:30,cn,인플레이션율(YoY) May,1.6%,1.6%,1.5%,상
01.08 (Fri), 22:30,us,비 농장 급여 May,292K,200K,252K,상
01.08 (Fri), 22:30,us,실업률 May,5%,5%,5%,상
01.08 (Fri), 18:30,gb,무역수지 Apr,￡-3.17B,,￡-3.51B,상
01.07 (Thu), 04:00,us,FOMC 회의록 ,,,,상
01.07 (Thu), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) May,55.3,56,55.9,상
01.06 (Wed), 22:30,us,무역수지 Apr,$-42.37B,$-44B,$-44.58B,상
01.06 (Wed), 22:15,us,ADP 고용변화 May,257K,192K,211K,상
01.05 (Tue), 00:00,us,ISM 제조업 PMI May,48.2,49,48.6,상
01.04 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48.2,49,48.6,상
01.01 (Fri), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,49.7,49.7,49.6,상
12.24 (Thu), 00:00,us,신규주택판매 May,490K,505K,470K,상
12.23 (Wed), 22:30,us,내구재 주문 (월간) May,0%,-0.6%,2.9%,상
12.23 (Wed), 18:30,gb,경제성장률(YoY) 최종 Q1,2.1%,2.3%,2.3%,상
12.23 (Wed), 18:30,gb,경제성장률(QoQ) 최종 Q1,0.4%,0.5%,0.5%,상
12.23 (Wed), 00:00,us,기존주택판매 May,4.76M,5.37M,5.32M,상
12.22 (Tue), 22:30,us,경제성장률(QoQ) 최종 Q1,2.0%,1.9%,3.9%,상
12.22 (Tue), 09:05,gb,GFK 소비자 신뢰지수 Jun,2,1,1,상
12.19 (Sat), 03:00,us,Fed Lacker Speech ,,,,상
12.17 (Thu), 04:00,us,FOMC 경제 예측 ,,,,상
12.17 (Thu), 04:00,us,연준 기준금리 결정 ,0.5%,0.5%,0.25%,상
12.16 (Wed), 18:30,gb,실업수당청구 변동 May,3.9K,1.5K,0.2K,상
12.16 (Wed), 18:30,gb,실업률 Apr,5.2%,5.3%,5.3%,상
12.15 (Tue), 22:30,us,인플레이션율(YoY) May,0.5%,0.4%,0.2%,상
12.15 (Tue), 22:30,us,핵심물가상승률 (YoY) May,2%,2.0%,1.9%,상
12.15 (Tue), 18:30,gb,인플레이션율(YoY) May,0.1%,0.1%,-0.1%,상
12.12 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jun,91.8,92,91.3,상
12.11 (Fri), 22:30,us,월간 소매 판매 May,0.2%,0.3%,0.1%,상
12.10 (Thu), 21:00,gb,비오이 MPC 투표 하이킹 ,1/9,1/9,1/9,상
12.10 (Thu), 21:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
12.10 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
12.10 (Thu), 21:00,gb,MPC 회의록 ,,,,상
12.10 (Thu), 18:30,gb,무역수지 Apr,￡-4.14B,,￡-1.07B,상
12.09 (Wed), 10:30,cn,인플레이션율(YoY) May,1.5%,1.4%,1.3%,상
12.08 (Tue), 11:00,cn,무역수지 May,$54.1B,$63.3B,$61.64B,상
12.08 (Tue), 02:30,us,Fed Bullard Speech ,,,,상
12.08 (Tue), 00:00,gb,BoE Gov Carney Speech ,,,,상
12.05 (Sat), 06:00,us,Fed Kocherlakota Speech ,,,,상
12.05 (Sat), 05:45,us,Fed Bullard Speech ,,,,상
12.05 (Sat), 02:00,us,Fed Dudley Speech ,,,,상
12.05 (Sat), 00:15,us,FED Harker Speech ,,,,상
12.04 (Fri), 22:30,us,무역수지 Apr,$-43.89B,$-40.5B,$-42.64B,상
12.04 (Fri), 22:30,us,실업률 May,5%,5%,5%,상
12.04 (Fri), 22:30,us,비 농장 급여 May,211K,200K,298K,상
12.04 (Fri), 03:10,us,Fed Fischer Speech ,,,,상
12.04 (Fri), 00:00,us,Fed Yellen testifies ,,,,상
12.04 (Fri), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) May,55.9,58,59.1,상
12.03 (Thu), 22:30,us,Fed Mester Speech ,,,,상
12.03 (Thu), 05:40,us,FED Williams Speech ,,,,상
12.03 (Thu), 02:25,us,Fed Yellen Speech ,,,,상
12.02 (Wed), 23:00,us,Fed Tarullo Speech ,,,,상
12.02 (Wed), 22:15,us,ADP 고용변화 May,217K,190K,196K,상
12.02 (Wed), 22:10,us,공급 록 하트 연설 ,,,,상
12.02 (Wed), 10:00,us,Fed Brainard Speech ,,,,상
12.02 (Wed), 02:45,us,연준 에반스 연설 ,,,,상
12.02 (Wed), 00:00,us,ISM 가격 지불 Nov,35.5,40,39,상
12.02 (Wed), 00:00,us,ISM 제조업 PMI May,48.6,50.4,50.1,상
12.01 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48.6,48.3,48.3,상
12.01 (Tue), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,49.6,49.8,49.8,상
11.27 (Fri), 18:30,gb,GDP 성장률 2분기 추정치 (분기대비) Q1,0.5%,0.5%,0.7%,상
11.27 (Fri), 18:30,gb,GDP 성장률 2분기 추정치 (전년대비) Q1,2.3%,2.3%,2.4%,상
11.27 (Fri), 09:05,gb,GFK 소비자 신뢰지수 Jun,1,2,2,상
11.26 (Thu), 00:00,us,신규주택판매 May,495K,500K,447K,상
11.25 (Wed), 22:30,us,내구재 주문 (월간) May,3.0%,1.5%,-0.8%,상
11.24 (Tue), 22:30,us,경제성장률(QoQ) 2차 추정치 Q1,2.1%,2.0%,3.9%,상
11.24 (Tue), 19:00,gb,BoE Gov Carney Speech ,,,,상
11.24 (Tue), 19:00,gb,인플레이션 보고서 청문회 ,,,,상
11.24 (Tue), 01:30,us,Fed Meeting under Expedited Procedures ,,,,상
11.24 (Tue), 00:00,us,기존주택판매 May,5.36M,5.4M,5.55M,상
11.20 (Fri), 23:00,us,Fed Bullard Speech ,,,,상
11.20 (Fri), 06:45,us,Fed Fischer Speech ,,,,상
11.20 (Fri), 02:30,us,공급 록 하트 연설 ,,,,상
11.19 (Thu), 04:00,us,FOMC 회의록 ,,,,상
11.18 (Wed), 22:00,us,Fed Dudley Speech ,,,,상
11.18 (Wed), 22:00,us,Fed Mester Speech ,,,,상
11.18 (Wed), 22:00,us,공급 록 하트 연설 ,,,,상
11.18 (Wed), 05:30,us,Fed Tarullo Speech ,,,,상
11.18 (Wed), 03:15,us,Fed Powell Speech ,,,,상
11.17 (Tue), 22:30,us,핵심물가상승률 (YoY) May,1.9%,1.9%,1.9%,상
11.17 (Tue), 22:30,us,인플레이션율(YoY) May,0.2%,0.1%,0.0%,상
11.17 (Tue), 18:30,gb,인플레이션율(YoY) May,-0.1%,-0.1%,-0.1%,상
11.14 (Sat), 01:45,us,Fed Mester Speech ,,,,상
11.14 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jun,93.1,91.5,90,상
11.13 (Fri), 22:30,us,월간 소매 판매 May,0.1%,0.3%,0.0%,상
11.13 (Fri), 08:00,us,Fed Fischer Speech ,,,,상
11.13 (Fri), 01:45,us,Fed Dudley Speech ,,,,상
11.13 (Fri), 00:15,us,연준 에반스 연설 ,,,,상
11.12 (Thu), 23:45,us,Fed Lacker Speech ,,,,상
11.12 (Thu), 23:30,us,Fed Yellen Speech ,,,,상
11.12 (Thu), 23:05,us,Fed Bullard Speech ,,,,상
11.11 (Wed), 18:30,gb,실업률 Apr,5.3%,5.4%,5.4%,상
11.11 (Wed), 18:30,gb,실업수당청구 변동 May,3.3K,1.5K,0.5K,상
11.11 (Wed), 18:00,gb,BoE Gov Carney Speech ,,,,상
11.11 (Wed), 14:30,cn,산업생산 (YOY) Jan-Feb,5.6%,5.8%,5.7%,상
11.11 (Wed), 04:30,us,연준 에반스 연설 ,,,,상
11.10 (Tue), 10:30,cn,인플레이션율(YoY) May,1.3%,1.5%,1.6%,상
11.10 (Tue), 02:00,us,Fed Rosengren Speech ,,,,상
11.08 (Sun), 11:00,cn,무역수지 May,$61.64B,$64.75B,$60.34B,상
11.07 (Sat), 06:15,us,Fed Brainard Speech ,,,,상
11.06 (Fri), 22:30,us,비 농장 급여 May,271K,180K,137K,상
11.06 (Fri), 22:30,us,실업률 May,5%,5.1%,5.1%,상
11.06 (Fri), 21:30,us,Fed Bullard Speech ,,,,상
11.06 (Fri), 18:30,gb,무역수지 Apr,￡-1.353B,,￡-2.905B,상
11.06 (Fri), 03:30,us,공급 록 하트 연설 ,,,,상
11.06 (Fri), 02:45,us,Fed Tarullo Speech ,,,,상
11.06 (Fri), 00:40,us,연준 에반스 연설 ,,,,상
11.05 (Thu), 23:10,us,Fed Fischer Speech ,,,,상
11.05 (Thu), 22:30,us,Fed Dudley Speech ,,,,상
11.05 (Thu), 22:30,us,FED Harker Speech ,,,,상
11.05 (Thu), 21:45,gb,BoE Gov Carney Speech ,,,,상
11.05 (Thu), 21:00,gb,비오이 MPC 투표 하이킹 ,1/9,1/9,1/9,상
11.05 (Thu), 21:00,gb,영란은행 양적완화 ,￡375B,￡375B,￡375B,상
11.05 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
11.05 (Thu), 21:00,gb,MPC 회의록 ,,,,상
11.05 (Thu), 21:00,gb,BOE 인플레이션 보고서 ,,,,상
11.05 (Thu), 09:30,us,Fed Fischer Speech ,,,,상
11.05 (Thu), 08:00,us,Fed Fischer Speech ,,,,상
11.05 (Thu), 04:30,us,Fed Dudley Speech ,,,,상
11.05 (Thu), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) May,59.1,56.5,56.9,상
11.05 (Thu), 00:00,us,Fed Yellen Speech ,,,,상
11.04 (Wed), 22:45,us,FED Harker Speech ,,,,상
11.04 (Wed), 22:30,us,무역수지 Apr,$-40.81B,$-41.1B,$-48.02B,상
11.04 (Wed), 22:15,us,ADP 고용변화 May,182K,180K,190K,상
11.04 (Wed), 19:30,us,Fed Brainard Speech ,,,,상
11.03 (Tue), 00:00,us,ISM 제조업 PMI May,50.1,50,50.2,상
11.03 (Tue), 00:00,us,ISM 가격 지불 Nov,39,38,38,상
11.02 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48.3,47.5,47.2,상
11.01 (Sun), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,49.8,50,49.8,상
10.30 (Fri), 23:00,us,FED Williams Speech ,,,,상
10.30 (Fri), 09:05,gb,GFK 소비자 신뢰지수 Jun,2,4,3,상
10.29 (Thu), 22:10,us,공급 록 하트 연설 ,,,,상
10.29 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q2,1.5%,1.6%,3.9%,상
10.29 (Thu), 03:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
10.27 (Tue), 21:30,us,내구재 주문 (월간) May,-1.2%,-1.2%,-3.0%,상
10.27 (Tue), 18:30,gb,경제성장률(QoQ) 예상 Q2,0.5%,0.6%,0.7%,상
10.27 (Tue), 18:30,gb,경제성장률(YoY) 예상 Q2,2.3%,2.4%,2.4%,상
10.26 (Mon), 23:00,us,신규주택판매 May,468K,550K,529K,상
10.23 (Fri), 21:25,cn,금리 결정 ,4.35%,,4.6%,상
10.23 (Fri), 09:00,kr,GDP 성장률(분기대비) 예비치 Q2,1.2%,1.0%,0.3%,상
10.23 (Fri), 09:00,kr,GDP 성장률(연간) 예비치 Q2,2.6%,2.5%,2.2%,상
10.23 (Fri), 00:00,us,기존주택판매 May,5.55M,5.38M,5.30M,상
10.22 (Thu), 03:30,us,Fed Powell Speech ,,,,상
10.22 (Thu), 03:00,gb,BoE Gov Carney Speech ,,,,상
10.21 (Wed), 01:00,us,Fed Yellen Speech ,,,,상
10.20 (Tue), 23:30,us,Fed Dudley Speech ,,,,상
10.20 (Tue), 23:10,us,Fed Powell Speech ,,,,상
10.20 (Tue), 20:00,gb,BoE Gov Carney Speech ,,,,상
10.20 (Tue), 02:00,us,Fed Lacker Speech ,,,,상
10.20 (Tue), 00:00,us,Fed Brainard Speech ,,,,상
10.19 (Mon), 12:00,cn,경제성장률(QoQ) Q2,1.8%,1.7%,1.8%,상
10.19 (Mon), 12:00,cn,경제성장률(YoY) Q2,6.9%,6.8%,7.0%,상
10.17 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jun,92.1,89,87.2,상
10.16 (Fri), 06:30,us,Fed Mester Speech ,,,,상
10.16 (Fri), 00:30,us,Fed Dudley Speech ,,,,상
10.16 (Fri), 00:30,us,Fed Bullard Speech ,,,,상
10.15 (Thu), 22:30,us,인플레이션율(YoY) May,0.0%,-0.1%,0.2%,상
10.15 (Thu), 22:30,us,핵심물가상승률 (YoY) May,1.9%,1.8%,1.8%,상
10.14 (Wed), 22:30,us,월간 소매 판매 May,0.1%,0.2%,0.0%,상
10.14 (Wed), 18:30,gb,실업수당청구 변동 May,4.6K,-2.1K,1.2K,상
10.14 (Wed), 18:30,gb,실업률 Apr,5.4%,5.5%,5.5%,상
10.14 (Wed), 11:30,cn,인플레이션율(YoY) May,1.6%,1.8%,2.0%,상
10.13 (Tue), 22:00,us,Fed Bullard Speech ,,,,상
10.13 (Tue), 18:30,gb,BOE 신용 상태 조사 ,,,,상
10.13 (Tue), 18:30,gb,인플레이션율(YoY) May,-0.1%,0%,0.0%,상
10.13 (Tue), 12:00,cn,무역수지 May,$60.34B,$46.79B,$60.24B,상
10.13 (Tue), 06:30,us,Fed Brainard Speech ,,,,상
10.13 (Tue), 00:30,us,연준 에반스 연설 ,,,,상
10.12 (Mon), 22:10,us,공급 록 하트 연설 ,,,,상
10.10 (Sat), 03:30,us,연준 에반스 연설 ,,,,상
10.09 (Fri), 23:10,us,공급 록 하트 연설 ,,,,상
10.09 (Fri), 18:30,gb,무역수지 Apr,￡-3.27B,,￡-4.4B,상
10.09 (Fri), 05:30,us,FED Williams Speech ,,,,상
10.09 (Fri), 04:00,gb,BoE Gov Carney Speech ,,,,상
10.09 (Fri), 04:00,us,FOMC 회의록 ,,,,상
10.08 (Thu), 23:30,us,Fed Bullard Speech ,,,,상
10.08 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
10.08 (Thu), 21:00,gb,MPC 회의록 ,,,,상
