날짜,시간,국가,경제지표,실제,예상,이전,중요도
10.05 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Sep,56.7,56,56.9,상
10.05 (Wed), 21:30,us,무역수지 Aug,$-67.4B,$-67.7B,$-70.5B,상
10.05 (Wed), 21:15,us,ADP 고용변화 Sep,208K,200K,185K,상
10.04 (Tue), 23:00,us,구인·이직 보고서(JOLT) 채용공고 Aug,10.053M,10.775M,11.17M,상
10.03 (Mon), 23:00,us,ISM 제조업 PMI Sep,50.9,52.2,52.8,상
09.30 (Fri), 21:30,us,개인소득 (MoM) Aug,0.3%,0.3%,0.3%,상
09.30 (Fri), 21:30,us,개인소비 Aug,0.4%,0.2%,-0.2%,상
09.30 (Fri), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Sep,48.1,49.5,49.5,상
09.30 (Fri), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Sep,50.1,49.6,49.4,상
09.27 (Tue), 23:00,us,신규주택판매 Aug,0.685M,0.5M,0.532M,상
09.27 (Tue), 21:30,us,내구재 주문 (월간) Aug,-0.2%,-0.4%,-0.1%,상
09.27 (Tue), 20:00,gb,BoE Pill Speech,,,,상
09.23 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Sep,-49,-42,-44,상
09.22 (Thu), 20:00,gb,영란은행 기준금리 결정 ,2.25%,2.25%,1.75%,상
09.22 (Thu), 03:30,us,연준 기자 회견 ,,,,상
09.22 (Thu), 03:00,us,FOMC 경제 예측 ,,,,상
09.22 (Thu), 03:00,us,연준 기준금리 결정 ,3.25%,3.25%,2.5%,상
09.21 (Wed), 23:00,us,기존주택판매 Aug,4.8M,4.7M,4.82M,상
09.20 (Tue), 21:30,us,건축허가 Aug,1.517M,1.61M,1.685M,상
09.20 (Tue), 21:30,us,신규주택착공 Aug,1.575M,1.445M,1.404M,상
09.16 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Sep,59.5,60,58.2,상
09.16 (Fri), 15:00,gb,월간 소매 판매 Aug,-1.6%,-0.5%,0.4%,상
09.16 (Fri), 11:00,cn,산업생산 (YOY) Aug,4.2%,3.8%,3.8%,상
09.15 (Thu), 21:30,us,월간 소매 판매 Aug,0.3%,0%,-0.4%,상
09.14 (Wed), 21:30,us,생산자물가지수 (MoM) Aug,-0.1%,-0.1%,-0.4%,상
09.14 (Wed), 15:00,gb,인플레이션율(YoY) Aug,9.9%,10.2%,10.1%,상
09.13 (Tue), 21:30,us,핵심물가상승률 (YoY) Aug,6.3%,6.1%,5.9%,상
09.13 (Tue), 21:30,us,인플레이션율(YoY) Aug,8.3%,8.1%,8.5%,상
09.13 (Tue), 15:00,gb,실업수당청구 변동 Aug,6.3K,,-10.5K,상
09.13 (Tue), 15:00,gb,실업률 Jul,3.6%,3.8%,3.8%,상
09.12 (Mon), 15:00,gb,GDP(MoM) Jul,0.2%,0.4%,-0.6%,상
09.09 (Fri), 10:30,cn,인플레이션율(YoY) Aug,2.5%,2.8%,2.7%,상
09.07 (Wed), 21:30,us,무역수지 Jul,$-70.7B,$-70.3B,$-80.9B,상
09.07 (Wed), 12:00,cn,무역수지 Aug,$79.39B,$92.7B,$101.26B,상
09.06 (Tue), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Aug,56.9,55.1,56.7,상
09.05 (Mon), 17:30,gb,S&amp;P 글로벌/CIPS 영국 서비스 PMI 최종 Aug,50.9,52.5,52.6,상
09.02 (Fri), 21:30,us,실업률 Aug,3.7%,3.5%,3.5%,상
09.02 (Fri), 21:30,us,비 농장 급여 Aug,315K,300K,526K,상
09.01 (Thu), 23:00,us,ISM 제조업 PMI Aug,52.8,52,52.8,상
09.01 (Thu), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Aug,49.5,50.2,50.4,상
08.31 (Wed), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Aug,49.4,49.2,49,상
08.30 (Tue), 23:00,us,구인·이직 보고서(JOLT) 채용공고 Jul,11.239M,10.45M,11.040M,상
08.26 (Fri), 23:00,us,연준 의장 파월 연설 ,,,,상
08.26 (Fri), 21:30,us,개인소비 Jul,0.1%,0.4%,1%,상
08.26 (Fri), 21:30,us,개인소득 (MoM) Jul,0.2%,0.6%,0.7%,상
08.25 (Thu), 21:30,us,경제성장률(QoQ) 2차 추정치 Q2,-0.6%,-0.8%,-1.6%,상
08.24 (Wed), 21:30,us,내구재 주문 (월간) Jul,0%,0.6%,2.2%,상
08.23 (Tue), 23:00,us,신규주택판매 Jul,0.511M,0.575M,0.585M,상
08.23 (Tue), 17:30,gb,S&amp;P 글로벌/CIPS 제조업 PMI 플래시 Aug,46,51.1,52.1,상
08.19 (Fri), 15:00,gb,월간 소매 판매 Jul,0.3%,-0.2%,-0.2%,상
08.19 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Aug,-44,-42,-41,상
08.18 (Thu), 23:00,us,기존주택판매 Jul,4.81M,4.89M,5.11M,상
08.18 (Thu), 03:00,us,FOMC 회의록 ,,,,상
08.17 (Wed), 21:30,us,월간 소매 판매 Jul,0%,0.1%,0.8%,상
08.17 (Wed), 15:00,gb,인플레이션율(YoY) Jul,10.1%,9.8%,9.4%,상
08.16 (Tue), 21:30,us,신규주택착공 Jul,1.446M,1.54M,1.599M,상
08.16 (Tue), 21:30,us,건축허가 Jul,1.674M,1.65M,1.696M,상
08.16 (Tue), 15:00,gb,실업수당청구 변동 Jul,-10.5K,,-26.8K,상
