대중교통구분,노선명,년월,승차총승객수
지하철,공항철도 1호선,201808,3388878
지하철,공항철도 1호선,201809,3110974
지하철,공항철도 1호선,201810,3524138
지하철,공항철도 1호선,201811,3445346
지하철,공항철도 1호선,201812,3422177
지하철,공항철도 1호선,201901,3429836
지하철,공항철도 1호선,201902,3055208
지하철,공항철도 1호선,201903,3584528
지하철,공항철도 1호선,201904,3600142
지하철,공항철도 1호선,201905,3736138
지하철,신분당선,201711,2050195
지하철,신분당선,201712,2038939
지하철,신분당선,201801,2017810
지하철,신분당선,201802,1757952
지하철,신분당선,201803,2079797
지하철,신분당선,201804,2005855
지하철,신분당선,201805,2036580
지하철,신분당선,201806,1955734
지하철,신분당선,201807,2087749
지하철,신분당선,201808,1984894
지하철,신분당선,201809,1839453
지하철,신분당선,201810,2144780
지하철,신분당선,201811,2170611
지하철,신분당선,201812,2071984
지하철,신분당선,201901,2180780
지하철,신분당선,201902,1786261
지하철,신분당선,201903,2113973
지하철,신분당선,201904,2152781
지하철,신분당선,201905,2188387
지하철,9호선2~3단계,201711,1250735
지하철,9호선2~3단계,201712,1265416
지하철,9호선2~3단계,201801,1209854
지하철,9호선2~3단계,201802,1042233
지하철,9호선2~3단계,201803,1247175
지하철,9호선2~3단계,201804,1219429
지하철,9호선2~3단계,201805,1250901
지하철,9호선2~3단계,201806,1205295
지하철,9호선2~3단계,201807,1338918
지하철,9호선2~3단계,201808,1295631
지하철,9호선2~3단계,201809,1109463
지하철,9호선2~3단계,201810,1295541
지하철,9호선2~3단계,201811,1344562
지하철,9호선2~3단계,201812,2295575
지하철,9호선2~3단계,201901,2306314
지하철,9호선2~3단계,201902,1967867
지하철,9호선2~3단계,201903,2433763
지하철,9호선2~3단계,201904,2515796
지하철,9호선2~3단계,201905,2643570
지하철,용인에버라인,201711,618791
지하철,용인에버라인,201712,584174
지하철,용인에버라인,201801,510582
지하철,용인에버라인,201802,469841
지하철,용인에버라인,201803,664818
지하철,용인에버라인,201804,666028
지하철,용인에버라인,201805,736844
지하철,용인에버라인,201806,664427
지하철,용인에버라인,201807,656141
지하철,용인에버라인,201808,627058
지하철,용인에버라인,201809,664197
지하철,용인에버라인,201810,756895
지하철,용인에버라인,201811,745732
지하철,용인에버라인,201812,684228
지하철,용인에버라인,201901,643464
지하철,용인에버라인,201902,565681
지하철,용인에버라인,201903,750035
지하철,용인에버라인,201904,784782
지하철,용인에버라인,201905,844987
지하철,의정부경전철,201711,999887
지하철,의정부경전철,201712,991726
지하철,의정부경전철,201801,923557
지하철,의정부경전철,201802,840383
지하철,의정부경전철,201803,1058708
지하철,의정부경전철,201804,1043013
지하철,의정부경전철,201805,1095397
지하철,의정부경전철,201806,1038364
지하철,의정부경전철,201807,1033396
지하철,의정부경전철,201808,975680
지하철,의정부경전철,201809,987796
지하철,의정부경전철,201810,1109088
지하철,의정부경전철,201811,1072441
지하철,의정부경전철,201812,1036331
지하철,의정부경전철,201901,1016354
지하철,의정부경전철,201902,908728
지하철,의정부경전철,201903,1089564
지하철,의정부경전철,201904,1106317
지하철,의정부경전철,201905,1181289
지하철,경기철도,201711,1328466
지하철,경기철도,201712,1354431
지하철,경기철도,201801,1324168
지하철,경기철도,201802,1162499
지하철,경기철도,201803,1436342
지하철,경기철도,201804,1410508
지하철,경기철도,201805,1751028
지하철,경기철도,201806,1686124
지하철,경기철도,201807,1767739
지하철,경기철도,201808,1699502
지하철,경기철도,201809,1636859
지하철,경기철도,201810,1882550
지하철,경기철도,201811,1907433
지하철,경기철도,201812,1878019
지하철,경기철도,201901,1907606
지하철,경기철도,201902,1609567
지하철,경기철도,201903,1939764
지하철,경기철도,201904,1965854
지하철,경기철도,201905,2038707
지하철,우이신설선,201711,1181277
지하철,우이신설선,201712,1162590
지하철,우이신설선,201801,1115985
지하철,우이신설선,201802,1020053
지하철,우이신설선,201803,1315328
지하철,우이신설선,201804,1285479
지하철,우이신설선,201805,1362035
지하철,우이신설선,201806,1262314
지하철,우이신설선,201807,1259765
지하철,우이신설선,201808,1222945
지하철,우이신설선,201809,1249766
지하철,우이신설선,201810,1400225
지하철,우이신설선,201811,1366119
지하철,우이신설선,201812,1301315
지하철,우이신설선,201901,1263643
지하철,우이신설선,201902,1102109
지하철,우이신설선,201903,1402393
지하철,우이신설선,201904,1403115
지하철,우이신설선,201905,1469681
